,Measure,EXP,HC,p-value
0,Sex,1.43 (0.50),1.51 (0.50),0.44774567553493116
1,LSAS_performance,40.39 (12.24),12.33 (8.80),6.907013139730141e-26
2,LSAS_social_interaction,35.17 (12.71),10.49 (7.96),8.72546322998062e-23
3,LSAS,75.56 (24.27),22.83 (16.11),2.373603344254065e-25
4,MOCI,17.37 (5.15),21.04 (8.04),0.009990720234692288
5,MOCI_checking,4.59 (2.36),6.39 (2.53),0.0003236329295447445
6,MOCI_cleaning,8.12 (2.33),8.30 (3.84),0.7834186578958403
7,MOCI_doubting,2.98 (2.06),4.04 (1.72),0.0041806672351924565
8,MOCI_slowness,3.93 (1.71),5.42 (2.32),0.0005047485033125947
9,BFNE,50.56 (6.55),32.84 (8.20),4.326773589725299e-21
10,PSWQ,56.00 (8.50),34.35 (8.70),3.210487413868383e-23
11,Handedness(true),42.05 (7.24),42.96 (5.45),0.4542976813961622
12,FCV-19S,5.66 (5.14),2.97 (3.56),0.0016154185627369085
13,Age,28.83 (7.22),30.03 (7.20),0.37770577261490257
14,Sex (Female %),43.48%,50.68%,0.4477456755349316
