subject_code_1,subject_code_2,distance
sub-c0036,sub-s0095,1.4706834190871954
sub-c0036,sub-c0089,1.5238118905957665
sub-c0036,sub-s0079,1.3796635213675772
sub-c0036,sub-s0223,1.4665359777701172
sub-c0036,sub-s0035,1.529905827292679
sub-c0036,sub-c0268,1.4377896881415964
sub-c0036,sub-c0052,1.386427741758308
sub-c0036,sub-c0061,1.4643140779098993
sub-c0036,sub-c0015,1.577343565688005
sub-c0036,sub-c0281,1.4271751481274304
sub-c0036,sub-c0269,1.430794383423634
sub-c0036,sub-c0418,1.4509951662515301
sub-c0036,sub-c0292,1.432039270246507
sub-c0036,sub-s0169,1.4814590965666994
sub-c0036,sub-c0067,1.4747282688825378
sub-c0036,sub-s0206,1.3881543499450737
sub-c0036,sub-c0285,1.3916914966635912
sub-c0036,sub-s0189,1.4554631257636734
sub-c0036,sub-s0084,1.3479138188043438
sub-c0036,sub-c0246,1.4487403555153588
sub-c0036,sub-c0552,1.405945265970264
sub-c0036,sub-s0060,1.5254111205003487
sub-c0036,sub-s0043,1.5437851094627721
sub-c0036,sub-c0287,1.3879786977765225
sub-c0036,sub-s0076,1.3277109788203467
sub-c0036,sub-c0082,1.3437674134591486
sub-c0036,sub-c0030,1.276385800385597
sub-c0036,sub-s0250,1.4874759801937423
sub-c0036,sub-s0008,1.3373153533088813
sub-c0036,sub-s0032,1.3528545625902366
sub-c0036,sub-c0289,1.4252013594498845
sub-c0036,sub-c0366,1.331223528772081
sub-c0036,sub-s0261,1.3545385832831787
sub-c0036,sub-s0143,1.4040577229778652
sub-c0036,sub-c0272,1.4380738458466136
sub-c0036,sub-s0109,1.3248705550487263
sub-c0036,sub-s0181,1.3641125310188251
sub-c0036,sub-c0256,1.4502869550592368
sub-c0036,sub-c0034,1.3222645383265543
sub-c0036,sub-c0017,1.365770590168965
sub-c0036,sub-s0019,1.5100149408779948
sub-c0036,sub-c0273,1.4547530070291055
sub-c0036,sub-s0103,1.2951660108258236
sub-c0036,sub-s0140,1.445061192831377
sub-c0036,sub-c0020,1.544890320381931
sub-c0036,sub-c0290,1.5010227655068047
sub-c0036,sub-c0025,1.3798089822463824
sub-c0036,sub-c0253,1.3851539167113758
sub-c0036,sub-c0010,1.485597637069209
sub-c0036,sub-s0127,1.3892559138815024
sub-c0036,sub-s0004,1.29350318550037
sub-c0036,sub-s0194,1.4676009696356298
sub-c0036,sub-c0090,1.3630965607390275
sub-c0036,sub-c0044,1.4914016772661094
sub-c0036,sub-c0024,1.5051958261646283
sub-c0036,sub-c0009,1.2861696015814914
sub-c0036,sub-c0048,1.3484747591753812
sub-c0036,sub-c0037,1.407896948303757
sub-c0036,sub-c0311,1.412235802643964
sub-c0036,sub-c0170,1.456664456342475
sub-c0036,sub-s0151,1.3658976569409924
sub-c0036,sub-s0027,1.5003155248381155
sub-c0036,sub-s0005,1.24215698978971
sub-c0036,sub-s0014,1.3359747488649367
sub-c0036,sub-s0080,1.4439926214369703
sub-c0036,sub-c0047,1.5165920478773536
sub-c0036,sub-c0490,1.50907132374709
sub-c0036,sub-c0059,1.482157569346559
sub-c0036,sub-s0128,1.4875786143457168
sub-c0036,sub-c0487,1.4169825848135702
sub-c0036,sub-c0411,1.4612436101346142
sub-c0036,sub-c0254,1.2817506883537968
sub-c0036,sub-s0074,1.3266011516034693
sub-c0036,sub-s0116,1.3486797146437761
sub-c0036,sub-s0219,1.514756319218672
sub-c0036,sub-c0071,1.4528424873777297
sub-c0036,sub-s0012,1.5313977477174268
sub-c0036,sub-c0491,1.4336716179227362
sub-c0036,sub-s0045,1.5354767082312266
